Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 06/10/2015
TIME       : 07:57:53
FILENAME   : Ceradiver.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-J4845  216.
  Instrument number       =                    
                          =0
  Location                =pcmarshbarom
  Sample period           =M12
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-J4845  216.
  Instrument number       =                    
  Location                =pcmarshbarom
  Sample period           =00 00:12:00 0
  Sample method           =T   
  Start date / time       =48:15:08 18/08/15
  End date / time         =48:51:06 06/10/15
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cm],Temperature[°C]
2015/08/18 08:15:48,1042.250,28.183
2015/08/18 08:27:48,1042.425,27.183
2015/08/18 08:39:48,1042.075,26.493
2015/08/18 08:51:48,1042.017,26.397
2015/08/18 09:03:48,1042.250,26.890
2015/08/18 09:15:48,1042.075,27.647
2015/08/18 09:27:48,1042.425,28.253
2015/08/18 09:39:48,1042.250,28.807
2015/08/18 09:51:48,1042.542,29.280
2015/08/18 10:03:48,1042.542,29.697
2015/08/18 10:15:48,1042.367,30.097
2015/08/18 10:27:48,1042.367,30.520
2015/08/18 10:39:48,1042.250,30.867
2015/08/18 10:51:48,1042.367,31.190
2015/08/18 11:03:48,1041.958,31.283
2015/08/18 11:15:48,1042.017,31.070
2015/08/18 11:27:48,1042.017,31.100
2015/08/18 11:39:48,1042.017,31.253
2015/08/18 11:51:48,1041.842,31.407
2015/08/18 12:03:48,1041.842,31.580
2015/08/18 12:15:48,1041.608,31.670
2015/08/18 12:27:48,1041.783,31.703
2015/08/18 12:39:48,1041.667,31.450
2015/08/18 12:51:48,1041.433,31.450
2015/08/18 13:03:48,1041.433,31.813
2015/08/18 13:15:48,1041.433,32.027
2015/08/18 13:27:48,1041.433,31.763
2015/08/18 13:39:48,1041.083,31.647
