"TOA5","FRF_Village","CR1000","63162","CR1000.Std.27","CPU:Complete Station_Bridget_31Oct2014.cr1","65292","Table_24"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Max","PTemp_C_Min","AirTC_Avg","RH_Avg","BP_kPa_Avg","Rain_mm_Tot","Rain_24hr","WS_ms_Avg","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","VW_Avg","T107_C_Avg","PAR_Den_Avg","PAR_Tot_Tot","SR01Up_Tot","SR01Dn_Tot","IR01Up_Tot","IR01Dn_Tot","NetTot_Tot"
"TS","RN","Volts","Deg C","Deg C","Deg C","%","kPa","mm","mm","meters/second","meters/second","Deg","Deg","","Deg C","umol/s/m^2","mmol/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2"
"","","Min","Max","Min","Avg","Avg","Avg","Tot","Smp","Avg","WVc","WVc","WVc","Avg","Avg","Avg","Tot","Tot","Tot","Tot","Tot","Tot"
"2014-11-02 00:00:00",0,13.46,0.989,-3.321,-2.042,75.03,102.4,0.73,0,0.266,0.266,167.1,31.28,0.232,4.243,0.031,0.5512738,-542.3,506.8,-7999,-4385,-7999
"2014-11-03 00:00:00",1,13.22,11.02,-1.139,3.432,54.52,102,2.482,0,0.843,0.843,186,36.85,0.226,4.24,122.7,10602.39,7999,7999,-7999,-7999,7999
"2014-11-04 00:00:00",2,13.18,12.88,1.012,5.348,66.23,101.2,0.146,0,0.579,0.579,175.8,49.29,0.219,4.975,105.3,9098.071,7999,7999,-7999,-7999,7999
"2014-11-05 00:00:00",3,13.3,8.61,1.841,3.808,90.9,100.7,2.044,0,0.919,0.919,262.8,46.94,0.237,5.793,16.6,1434.382,7999,2589,-208.2,-456.8,7999
"2014-11-06 00:00:00",4,13.4,4.064,1.224,0.677,81.3,101.4,0.438,0,0.698,0.698,293,57.82,0.237,4.636,34.72,3000.028,7999,5394,-7999,1520,5115
"2014-11-07 00:00:00",5,13.43,3.014,0.757,0.045,80.7,101.8,0.146,0,0.96,0.96,12.57,50.48,0.226,4.187,33.36,2882.693,7999,5247,-7999,62.68,7577
"2014-11-08 00:00:00",6,13.4,3.784,-5.723,-1.496,89.4,101.5,1.898,0,0.656,0.656,176.9,59.72,0.221,3.419,59.64,5153.123,7999,7999,-2539,-423.1,7999
"2014-11-09 00:00:00",7,13.46,1.927,-3.622,-1.677,85.4,100.6,5.402,0,1.295,1.295,299.6,63.65,0.229,3.398,"NAN","NAN",7999,7999,-7999,-3911,7999
"2014-11-10 00:00:00",8,12.13,3.463,-7.128,-3.702,78.79,100.6,9.34,0,0.839,0.839,288.9,42.8,0.228,3.141,"NAN","NAN",7999,7999,-7999,-7999,7999
