;EGM-4 Data
;SoftwareVersion=1.05
;Plot	RecNo	Day	Month	Hour	Min	CO2 Ref	mb Ref	mbR Temp	Input A	Input B	Input C	Input D	Input E	Input F	Input G	Input H	ATMP	Probe Type
40	0001	07	06	11	43	00414	15.7	+27.3	0000	043.4	000.0	0000	0000	+00.00	00	00	0981	08
40	0002	07	06	11	43	00414	15.8	+27.3	0000	043.4	000.0	0000	0004	+00.00	00	00	0981	08
40	0003	07	06	11	43	00414	15.8	+27.3	0000	043.4	000.0	0000	0009	+00.00	00	00	0981	08
40	0004	07	06	11	43	00414	15.8	+27.3	0000	043.4	000.0	0000	0014	-00.00	00	01	0981	08
40	0005	07	06	11	43	00414	15.8	+27.3	0000	043.4	000.0	0000	0019	+00.00	00	00	0981	08
40	0006	07	06	11	43	00414	15.8	+27.4	0000	043.4	000.0	0000	0024	+00.01	00	00	0981	08
40	0007	07	06	11	43	00414	15.8	+27.4	0000	043.4	000.0	0000	0028	+00.01	00	00	0981	08
40	0008	07	06	11	43	00414	15.9	+27.4	0000	043.4	000.0	0000	0033	+00.02	00	00	0981	08
40	0009	07	06	11	43	00414	15.9	+27.4	0000	043.5	000.0	0000	0038	+00.02	00	00	0981	08
40	0010	07	06	11	43	00415	15.9	+27.4	0000	043.5	000.0	0000	0043	+00.02	00	00	0981	08
40	0011	07	06	11	43	00415	15.9	+27.4	0000	043.5	000.0	0000	0048	+00.02	00	00	0981	08
40	0012	07	06	11	44	00415	15.9	+27.4	0000	043.5	000.0	0000	0052	+00.03	00	00	0981	08
40	0013	07	06	11	44	00415	15.9	+27.4	0000	043.5	000.0	0000	0057	+00.03	00	00	0981	08
40	0014	07	06	11	44	00415	15.9	+27.4	0000	043.5	000.0	0000	0062	+00.03	00	00	0981	08
40	0015	07	06	11	44	00415	15.9	+27.5	0000	043.5	000.0	0000	0067	+00.03	00	00	0981	08
40	0016	07	06	11	44	00415	15.9	+27.5	0000	043.5	000.0	0001	0072	+00.03	00	00	0981	08
40	0017	07	06	11	44	00415	15.9	+27.5	0000	043.5	000.0	0001	0076	+00.03	00	00	0981	08
40	0018	07	06	11	44	00416	16.0	+27.5	0000	043.5	000.0	0001	0081	+00.04	00	00	0981	08
40	0019	07	06	11	44	00416	16.0	+27.5	0000	043.5	000.0	0001	0086	+00.04	00	00	0981	08
40	0020	07	06	11	44	00416	16.0	+27.5	0000	043.5	000.0	0001	0091	+00.04	00	00	0981	08
40	0021	07	06	11	44	00416	16.0	+27.5	0000	043.5	000.0	0002	0096	+00.04	00	00	0981	08
40	0022	07	06	11	44	00417	16.0	+27.6	0000	043.5	000.0	0002	0100	+00.05	00	00	0981	08
